formation,Q,F,L
Manche,"54,7633792728","9,751978641","35,4846420862"
Manche,"57,4431092815","7,5052046155","35,051686103"
Manche,"57,4020930059","0,9069409527","41,6909660415"
Manche,"44,9719443897","1,2763882007","53,7516674096"
Manche,"39,8157181705","5,1307021487","55,0535796808"
Manche,"39,8489746102","10,4806456592","49,6703797307"
Mocausa,"63,0113458372","3,2640797135","33,7245744493"
Mocausa,"60,5370667226","5,2282825368","34,2346507406"
Mocausa,"43,5504163501","5,9293583711","50,5202252788"
Mocausa,"43,5249197463","1,8277350131","54,6473452406"
Mocausa,"46,011842186",0,"53,988157814"
Mocausa,"62,7991764128",0,"37,2008235872"
Weissenburg,"29,6477464867","2,7485290735","67,6037244398"
Weissenburg,"32,1175914093","0,0710004488","67,8114081419"
Weissenburg,"44,0949501069",0,"55,9050498931"
Weissenburg,"40,4243110172","3,0346683898","56,541020593"
