#############################################,,,
# Title : Dickinson QFL,,,
# Description : data for creation of provinces of the Dickinson QFL ternary diagram using ggtern package,,,
# Date : 25/11/2014,,,
# Author : Jérémy Ragusa,,,
#############################################,,,
# Comment :,,,
# Values reported from Dickinson et al.(1983) using WebPlotDigitizer (http://arohatgi.info/WebPlotDigitizer/beta/) for complementary data,,,
# x = F y = Q z = L,,,
#############################################,,,
x,y,z,line
0,3,97,1
85,15,0,1
45,0,55,2
0,75,25,2
18,0,82,3
15.293,5.089,79.617,3
69.443,12.883,17.674,4
12.832, 53.791, 33.377,4
50,50,0,5
0,75,25,5
