,sample,location,unit,provenance,Ap,Grt,Hb,Rt,St,Ttn,Tur_blue,Tur_yellowgreen,Tur_iso,Zrn,Bt,Ms,Chl,Volc,Cal,Op,Glt,tHM.trace,Tur,tHM,M,GZi,ATi,total,ZTR,,
3,F2a,Carrière de Fillinges,VS,quartzose,89,7,2,16,10,12,0,17,3,50,32,1,5,11,25,541,44,2,20,206,38,12.280701754386,81.651376146789,829,29.8611111111111,20,80
4,F2b,Carrière de Fillinges,VS,quartzose,30,10,1,9,6,7,0,43,0,50,43,2,19,15,19,520,48,1,43,156,64,16.6666666666667,41.0958904109589,788,38.0597014925373,43,82
5,F3b,Carrière de Fillinges,VS,quartzose,43,14,0,31,13,2,2,7,0,65,70,1,67,19,24,524,9,0,9,177,138,17.7215189873418,82.6923076923077,848,32.4074074074074,9,52
2,M1,Meulière de la Molière,VC,feldspathic,36,23,0,10,3,5,2,2,0,11,19,3,9,2,1,34,17,0,4,92,31,67.6470588235294,90,174,17.8571428571429,4,20
9,M3,Meulière de la Molière,VC,feldspathic,38,50,0,36,14,1,6,17,0,78,36,2,9,4,8,310,39,0,23,240,47,39.0625,62.2950819672131,636,42.0245398773006,23,51
6,Sa1,Moutonnières,VS,feldspathic,15,27,1,12,9,0,1,4,0,11,49,11,24,15,4,104,25,1,5,80,84,71.0526315789474,75,293,14.8148148148148,5,44
10,Sa2,Moutonnières,VS,feldspathic,22,21,0,12,16,2,3,14,3,29,27,2,0,7,35,84,72,0,20,122,29,42,52.3809523809524,307,27.3542600896861,20,114
1,Sa3,Moutonnières,VS,quartzose,41,6,0,16,15,2,5,22,27,48,10,2,4,56,10,75,50,0,54,182,16,11.1111111111111,43.1578947368421,323,47.5806451612903,54,116
7,Sa4,Moutonnières,VS,quartzose,16,8,0,13,10,7,0,7,0,36,19,3,13,10,20,65,23,0,7,97,35,18.1818181818182,69.5652173913043,220,36.1290322580645,7,53
8,Sa6,Moutonnières,VS,quartzose,17,21,0,21,26,0,3,31,5,97,12,0,0,14,0,323,39,0,39,221,12,17.7966101694915,30.3571428571429,595,57.7205882352941,39,53
