sample,location,unit,provenance,Ap,Grt,Hb,Rt,St,Ttn,Tur_blue,Tur_yellowgreen,Tur_iso,Zrn,Bt,Ms,Chl,Volc,Cal,Op,Glt
Sa3,Moutonnières,VS,quartzose,41,6,0,16,15,2,5,22,27,48,10,2,4,56,10,75,50
M1,Meulière de la Molière,VC,feldspathic,36,23,0,10,3,5,2,2,0,11,19,3,9,2,1,34,17
F2a,Carrière de Fillinges,VS,quartzose,89,7,2,16,10,12,0,17,3,50,32,1,5,11,25,541,44
F2b,Carrière de Fillinges,VS,quartzose,30,10,1,9,6,7,0,43,0,50,43,2,19,15,19,520,48
F3b,Carrière de Fillinges,VS,quartzose,43,14,0,31,13,2,2,7,0,65,70,1,67,19,24,524,9
Sa1,Moutonnières,VS,feldspathic,15,27,1,12,9,0,1,4,0,11,49,11,24,15,4,104,25
Sa4,Moutonnières,VS,quartzose,16,8,0,13,10,7,0,7,0,36,19,3,13,10,20,65,23
Sa6,Moutonnières,VS,quartzose,17,21,0,21,26,0,3,31,5,97,12,0,0,14,0,323,39
M3,Meulière de la Molière,VC,feldspathic,38,50,0,36,14,1,6,17,0,78,36,2,9,4,8,310,39
Sa2,Moutonnières,VS,feldspathic,22,21,0,12,16,2,3,14,3,29,27,2,0,7,35,84,72
