#############################################,,,,,,,,,,,,,,,,,,,,,,
# Title : Alpine flysch heavy minerals,,,,,,,,,,,,,,,,,,,,,,
# Subject : heavy minera countingl from alpine flyschs,,,,,,,,,,,,,,,,,,,,,,
# Author : Jérémy Ragusa,,,,,,,,,,,,,,,,,,,,,,
# Date : 8/10/2015,,,,,,,,,,,,,,,,,,,,,,
#############################################,,,,,,,,,,,,,,,,,,,,,,
# Ant = Anatase , Ap = Apatite , Brk = Brookite , Ep = Epidote , Grt = Garnet , Mnz = Monazite , Rt = Rutile , Sp = Sphalérite , Spl = Chrome Spinelle , St = Staurolite , Ttn = TiO2 group , Tur = Tourmaline , Zrn = Zircon,,,,,,,,,,
# TiO2 group includes titanite and sphene and also rutile grains in some papers (check NA in rutile),,,,,,,,,,,,,,,,,,,,,,
# TCI = Tourmaline Color Index (Füchtbauer1964),,,,,,,,,,,,,,,,,,,,,,
#############################################,,,,,,,,,,,,,,,,,,,,,,
# Butler2011 : Zi includes Mz , Br includes An , GPS location available,,,,,,,,,,,,,,,,,,,,
# Winkler1985a : rutile includes into TiO2 group. Corroded grains with high relief which are not optically determined has been considered as TiO2 group. Other grains includes : staurolite , spinel and hornblend,,,,,,,,,,,,,,,,,,,,,
#############################################,,,,,,,,,,,,,,,,,,,,,,
source,nappe,unit,formation,location,sample,Ant,Ap,Brk,Ep,Grt,Mnz,Rt,Sp,St,Spl,Ttn,Tur,Zrn,others,total,TCI,remarks
Flück1973,Gets,Hundsrück serie,,Gets,,,58,,,0,,,0,0,1,8,16,16,1,100,,
Flück1973,Gets,Hundsrück serie,,Pointe de Chéry,,,55,,,0,,,0,0,1,8,22,14,0,100,,
Flück1973,Gets,Hundsrück serie,,Hundsrück,,,59,,,0,,,0,0,1,8,14,17,1,100,,
Flück1973,Gets,Hundsrück serie,,Hundsrück Top,,,41,,,0,,,0,0,1,14,22,21,1,100,,
Flück1973,Gets,Hundsrück serie,,Hundsrück Erbetlaub,,,63,,,0,,,0,0,1,7,13,16,0,100,,
Flück1973,Dranse,Plattenflysch,,Le Ruth,,,6,,,3,,,0,0,0,13,38,40,0,100,,
Flück1973,Dranse,Plattenflysch,,Weissenburg,,,6,,,1,,,0,0,1,16,36,38,2,100,,
Flück1973,Simme,Weissenburg,,Weissenburg,,,8,,,0,,,0,0,43,12,16,20,1,100,,Manche conglomerate
Flück1973,Simme,Manche,,Manche,,,0,,,0,,,0,0,66,9,13,9,3,100,,
Flück1973,Simme,Manche,,Klberhöni,,,0,,,0,,,0,0,65,9,14,8,4,100,,
Flück1973,Simme,Manche,,Garstatt,,,5,,,0,,,0,0,67,6,13,8,0,99,,
Flück1973,Simme,Manche,,Puntel,,,0,,,0,,,0,0,66,9,13,9,3,100,,
Flück1973,Simme,Mocausa,,Mocausa,,,0,,,0,,,0,0,75,4,9,9,3,100,,
Flück1973,Simme,Mocausa,,Rodomont,,,0,,,0,,,0,0,77,3,9,9,2,100,,
Flück1973,Simme,Mocausa,,Brechgraben II,,,0,,,0,,,0,0,77,5,9,7,2,100,,
Flück1973,Simme,Mocausa,,Brechgraben I,,,0,,,0,,,0,0,73,5,12,9,1,100,,
Flück1973,Simme,Mocausa,,Oeygraben,,,0,,,0,,,0,0,75,4,7,12,2,100,,
Flück1973,Simme,Lamperenhubel,,Lamperenhubel,,,5,,,0,,,10,0,14,11,36,23,1,100,,
Flück1973,Simme,Fouyet,,Fouyet,,,28,,,0,,,0,0,15,10,24,23,0,100,,
Flück1973,Brèche,Flysch,,Oeschseite,,,11,,,0,,,0,0,0,10,45,34,0,100,,
Flück1973,Brèche,Flysch,,Moosbach,,,2,,,0,,,0,0,0,11,52,35,0,100,,
Flück1973,Brèche,Flysch,,Seefluh,,,4,,,0,,,0,0,0,17,54,25,0,100,,
Flück1973,Médianes,Flysch,Giswil,Giswil,,,6,,,32,,,0,0,0,6,24,27,5,100,,
Flück1973,Médianes,Flysch,Externe,Estavannens,,,6,,,7,,,0,4,0,14,30,36,3,100,,
Flück1973,Médianes,Flysch,Externe,Cuvigne Derrey,,,4,,,32,,,0,0,7,19,27,11,0,100,,
