#############################################,,,
# Title : Garnet provenance,,,
# Description : data for creation of provenances domains of garnet (Morton1989) using Ternary.R and ggtern package,,,
# Date : 25/11/2014,,,
# Author : Jérémy Ragusa,,,
#############################################,,,
# Comment :,,,
# Values reported from Morton (1989) and using WebPlotDigitizer (http://arohatgi.info/WebPlotDigitizer/beta/) for complementary data,,,
# x = Mg y = Ca z = Fe+Mn,,,
#############################################,,,
z,x,y,line
10.5,0,89.5,H1
10.5,64.75,24.75,H1
20,69,11,H1
20,80,0,H1
39.5,49.5,11,H2
39.5,0,60.5,H2
0,45,55,V1
10.5,39.75,49.75,V1
0,89,11,V2
20,69,11,V2
49,40,11,V2
71,29,0,V2
