################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: Framework composition of the Voirons Flysch following the Gazzi-Dickinson method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
################# Abbreviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Mineral abbreviations are based on the compilation of Whitney and Evans (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# unit: VS = Voirons Sandstone Fm., VC = Vouan Conglomerate Fm., BM = Boëge Marl Fm., BS = Bruant Sandstone Fm., AS = Allinges Sandstone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Quartz: Qms = single monocrytalline quartz, Qps = non tectonised polycrystalline quartz, QpT = tectonised polycrystalline quartz, Qr = quartz in rock-fragments (m=metamorphic, g=plutonic, v=volcanic)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Feldpars: Ks = single K-feldspar, Kr = K-feldspar in rock-fragments, An = anorthite Anr = anorthite in rock fragments, Ab = albite, Abr = albite in rock-fragments",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Lithics: Lci = mudstone to wackestone fragments, Lch = chert, Lmf(1-5) = metapsammite/metafelsite grains, Lmp(1-5) = metapelite grains, Lmb1 = metabasite grains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# C = calcite cement, Bc = total carbonate bioclast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# D = dense minerals, M = micas, Chl = chlorite, Glt = glauconite, Op = opaque grains, Ph = phosphate, Si = silice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Pore = porosity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,location,unit,dickinson,Qms,Qps,QpT,Qrv,Qrm,Qrg,Ks,Krv,Krg,Krm,An,Anrv,Anrg,Anrm,Ab,Abrg,Abrv,Abrm,Lci,Ls,Lch,Lv,Lmf1,Lmf2,Lmf3,Lmf4,Rmf5,Lmp1,Lmp2,Lmp3,Lmp4,Rmp5,Lmb1,C,D,M,Chl,Glt,Op,Ph,Si,Bc,Pore
JR1,carrière inférieure de Saxel,VS,337,189,39,1,0,0,14,38,0,0,0,13,0,9,0,0,0,0,0,14,1,4,5,0,0,0,0,0,0,0,0,0,0,0,85,1,1,0,1,2,0,0,8,3
JR2,carrière de Bons,VS,329,193,6,0,0,0,2,46,0,1,0,54,0,1,0,1,0,0,0,16,0,4,2,0,0,0,0,0,0,0,0,0,0,0,226,2,4,0,11,6,0,1,1,0
JR3,carrière de Bons,VS,313,188,8,0,0,0,8,30,0,0,0,56,0,9,0,0,0,0,0,8,0,5,1,0,0,0,0,0,0,0,0,0,0,0,163,3,3,0,18,10,1,0,2,2
JR4,carrière de Bons,VS,277,216,2,0,0,0,2,6,0,1,0,0,0,0,0,6,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,301,0,3,0,61,10,7,1,82,0
JR5,carrière de Bons,VS,299,181,3,0,0,0,0,43,0,0,0,56,0,0,0,0,0,0,0,10,0,3,1,0,0,0,0,0,0,0,0,0,0,0,333,0,20,0,19,15,18,0,53,0
JR6,carrière de Bons,VS,320,140,9,0,0,0,10,47,0,0,0,64,0,13,0,5,0,0,0,12,0,15,2,0,0,0,0,0,0,0,1,0,0,0,176,0,2,0,43,1,1,0,15,0
JR7,carrière de Bons,VS,336,70,12,1,1,0,24,56,1,0,0,56,0,13,0,10,2,0,0,26,0,13,12,0,0,0,0,0,0,0,0,0,0,0,306,0,11,2,1,1,8,0,58,1
JR8,carrière de Bons,VS,321,266,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,11,0,45,17,3,0,15,0
JR9,carrière de Bons,VS,244,173,3,0,0,0,0,11,0,0,0,38,0,0,0,1,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,284,1,0,0,9,3,20,0,48,0
JR10,carrière de Bons,VS,322,143,17,0,0,0,10,21,0,4,0,54,0,6,0,3,0,0,0,16,0,4,2,0,0,0,0,0,0,0,0,0,0,0,230,1,7,0,15,2,10,1,24,0
JR11,carrière inférieure de Saxel,VS,314,170,58,5,0,0,11,22,0,0,0,17,0,9,0,0,0,0,0,13,0,4,5,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0,1,0,1,0,6,7
JR12,carrière inférieure de Saxel,VS,299,168,3,0,0,0,1,48,0,0,0,49,0,1,0,0,0,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,362,3,4,0,9,4,12,2,21,0
JR13,carrière inférieure de Saxel,VS,319,178,42,1,0,0,12,20,4,1,0,8,0,15,0,4,1,0,0,9,0,2,1,0,0,0,0,1,0,0,0,0,0,0,164,0,1,0,0,1,0,0,8,1
JR14,carrière inférieure de Saxel,VS,321,231,1,0,0,0,0,16,0,0,0,53,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,450,2,4,0,10,1,7,0,4,2
