################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: SEM-EDS garnet geochemistry from the Voirons Flysch. Data include element and calculated oxide composition and enb-member abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,provenance,type,confidence,O,Mg,Al,Si,Ca,Cr,Ti,Mn,Fe,Zr,Os,Gd,Dy,Pr,Tm,Tb,Te,Sm,As,Hg,Sb,Cu,C,Ru,Cs,Eu,Co,Lu,La,Cd,Ce,Ga,Ba,Pt,Nd,Zn,V,Yb,I,Rh,Nb,P,Sc,Ge,Th,Y,Pd,U,In,Ni,Hf,Cl,Ir,Au,Se,Mo,Sn,Pr.1,F,Er,Re,Ho,Ag,Bi,Tl,Sr,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,BaO,Cs2O,ZnO,Cr2O3,NiO,Almandine,Andradite,Grossular,Pyrope,Spessartine,Uvarovite
JR349,quartzose,Alm,0,21.28,3.77,12.23,28.81,8.86,0,0,0,33.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.073834703121,0,15.7750411294021,29.4206148422627,0,4.26777581394213,8.46273351127204,0,0,0,0,0,51.6841423911,12.6640794175,15.7303819419,19.9213962495,0,0
JR349,quartzose,Alm,0,18.13,8.06,15.54,29.44,10.86,0,0,0,26.25,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.7181021380759,0,18.9834849060961,21.8331867179333,0,8.64124210573096,9.82398413216373,0,0,0,0,0,36.4605971463,8.8934020054,19.6800103089,34.9659905394,0,0
JR349,quartzose,Alm,0,17.67,2.37,14.66,29.18,15.53,0,0,0,28.44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9684898112063,0,18.1791612984406,24.0122225083555,0,2.57931523420171,14.2608111477958,0,0,0,0,0,44.3234369575,6.4320936797,38.0512950817,11.193174281,0,0
JR349,quartzose,Alm,0,22.48,4.36,17.58,28.33,13.02,0,0,0,21.16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.3712603210191,0,22.67494553749,18.5825769348976,0,4.93548771941623,12.435729487177,0,0,0,0,0,45.6417765756,0,35.0213315005,19.3368919239,0,0
JR349,quartzose,Alm,0,22.36,0,14.25,29.25,3.27,0,0,0,41.44,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4556892222401,0,18.2683824318646,36.1716126331287,0,0,3.10431571276665,0,0,0,0,0,89.7016806377,0,10.2983193623,0,0,0
JR349,quartzose,Alm,0,17.56,2.22,17.14,29.2,6.65,0,0,0,38.08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.8314818292994,0,20.6504554598922,31.2376713337103,0,2.34740484220787,5.9329865348902,0,0,0,0,0,73.0040131759,0,17.4118250595,9.5841617646,0,0
JR349,quartzose,Alm,0,12.23,0,14.82,30.57,6.82,0,0,3.68,32.56,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.7203626437376,0,18.7202535072895,28.0034031318357,3.17656657482782,0,6.37941414230942,0,0,0,0,0,71.2181462598,0,20.6523576955,0,8.1294960447,0
JR349,quartzose,Alm,0,22.18,0,17.72,26.34,9.96,0,0,0,31.81,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.9445640870116,0,23.1403540320169,28.2834800597653,0,0,9.63160182120621,0,0,0,0,0,71.754221839,0,28.245778161,0,0,0
JR349,quartzose,Alm,0,23,0,15.07,29.54,7.03,0,0,0,33.78,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5935181245958,0,19.6426412888223,29.9784498959132,0,0,6.78539069066877,0,0,0,0,0,79.0648758817,0,20.9351241183,0,0,0
JR349,quartzose,Alm,0,27.27,5.15,18.86,29.96,9.17,0,0,0,25.91,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5022769473586,0,23.0752815441197,21.5841836463459,0,5.53004612560737,8.30821173656844,0,0,0,0,0,54.4577377546,0,23.6458925717,21.8963696737,0,0
