################# General info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# article: Provenance analysis of the Voirons Flysch (Gurnigel nappe, Haute-Savoie, France): Stratigraphic and paleogeographic implications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: International Journal of Earth-Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# author: Ragusa J, Kindler P, Segvic B and Ospina-Ostios LM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: SEM-EDS tourmaline geochemistry from the Voirons Flysch. Data include element and calculated oxide composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample,type,confidence,O,Mg,Al,Si,Fe,Na,Ca,Ag,As,Ba,C,Cd,Co,Cr,Cs,Cu,Dy,Eu,Ga,Ge,Hf,I,Ir,K,La,Lu,Nb,Os,P,Pr,Re,Rh,Ru,Sb,Sc,Sm,Sr,Tb,Te,Th,Ti,U,V,Y,Yb,Zn,Zr
JR349,tourmaline,"92,59","31,17","7,36","32,26","29,37","5,26","3,34",0,0,0,0,0,"2,59",0,0,0,0,"4,65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,tourmaline,"93,86","36,59","4,95","35,91","26,89","7,9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,09",0,0
JR349,tourmaline,"92,61","31,48","6,13",31,"28,6","11,63","2,2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,tourmaline,"93,52","30,82","5,01","31,77","32,11","12,89","2,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,tourmaline,"93,5","29,06","7,41","33,58","32,49","9,2",0,0,0,0,0,0,"2,68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,85",0,0,0,0,0,0
JR349,tourmaline,"93,48","32,14","5,89","32,75","29,37","8,7",0,0,0,0,0,0,0,0,0,0,"2,12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,tourmaline,"91,06","30,41","6,09","29,07","26,63","9,75","3,86",0,"3,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,tourmaline,"93,06","31,95","7,53",29,"30,26","10,81","2,35",0,0,0,0,0,0,"2,32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,tourmaline,"93,94","35,88","7,27","29,34","27,4","5,94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,18",0,0,0,0
JR349,tourmaline,"93,68","32,72","4,38","37,3","20,95","7,61","2,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,26",0,0,0,0,0,0,0,0,0,0
JR349,schorl,"91,7","39,11","2,81","32,24","26,12","12,96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,schorl,"93,58","32,07",0,"33,09","27,93","13,03","2,21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,42",0,0,0,0,0,0
JR349,schorl,"93,75","39,06","2,95","37,15","23,87","13,34","2,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JR349,schorl,"92,82","34,44","3,37","31,79","27,24","16,24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
