# article: Compositional variations in deep-sea gravity-flow deposits. A case study from the Voirons Flysch (Voirons-Wägital complex_Chablais Prealps_France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: Sedimentary Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# author: Ragusa J and Kindler P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: Measurements of axis a for grain-size analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR1,JR2,JR3,JR4,JR5,JR6,JR7,JR8,JR9,JR10,JR11,JR12,JR13,JR14,JR15,JR16,JR17a,JR18,JR19,JR20a,JR21,JR22,JR23,JR24,JR25,JR26,JR27,JR28,JR29,JR30,JR31,JR32,JR33,JR34,JR35,JR36,JR37,JR38,JR39,JR40,JR41,JR42,JR43,JR44,JR45,JR46,JR47,JR48,JR49,JR50,JR51,JR52,JR53,JR54,JR55,JR56,JR57,JR58,JR59,JR60,JR61,JR62,JR63,JR64,JR65,JR66,JR67,JR68,JR69,JR70,JR71,JR72,JR73,JR74,JR75,JR76,JR77b,JR78,JR79,JR80,JR81,JR82,JR83,JR84,JR85,JR86,JR87,JR88,JR89,JR90,JR91,JR92,JR93,JR94,JR95,JR96,JR97,JR98,JR99,JR100,JR101,JR102,JR103,JR104,JR105,JR106,JR107,JR108,JR109,JR110,JR111,JR112,JR113,JR114,JR115,JR116,JR117,Jr118,JR119,JR120,JR121,JR122,JR123,JR124,JR125,JR126,JR127,JR128,JR129,JR130,JR131,JR132,JR133,JR134,JR135,JR136,JR137,JR138,JR139,JR140,JR141,JR142,JR143,JR144,JR145,JR146,JR147,JR148,JR149,JR150,JR151,JR152,JR153,JR154,JR155,JR156,JR157,JR158,JR159,JR160,JR161,JR162,JR163,JR164,JR165,JR166,JR167,JR168,JR169,JR170,JR171,JR172,JR173,JR174,JR175,JR176,JR177,JR178,JR179,JR180,JR181,JR182,JR183,JR184,JR185,JR186,JR187,JR188,JR189,JR190,JR191,JR192,JR193,JR194,JR195,JR196,JR197,JR198,JR199,JR200,JR201,JR202,JR203,JR204,JR205,JR206,JR207,JR208,JR209,JR210,JR211,JR212,JR213,JR214,JR215,JR216,JR217,JR218,JR219,JR220,JR221,JR222,JR223,JR224,JR225,JR226,JR227,JR228,JR229,JR230,JR231,JR232,JR233,JR234,JR235,JR236,JR237,JR238,JR239,JR240,JR241,JR242,JR243,JR244,JR245,JR246,JR247,JR248,JR249,JR250,JR251,JR252a,JR252b,JR253,JR254,JR255,JR256,JR257,JR258,JR259,JR260,JR261,JR262,JR263,JR264,JR265,JR266,JR267,JR268,JR269,JR270,JR271,JR272,JR273,JR274,JR275,JR276,JR277,JR278,JR279,JR280,JR281,JR282,JR283,JR284,JR285,JR286,JR287,JR288,JR289,JR290,JR291,JR292,JR293,JR294,JR295,JR296,JR297,JR298,JR299,JR300,JR301,JR302,JR303,JR304,JR305,JR306,JR307,JR308,JR309,JR310,JR311,JR312,JR313,JR314,JR315,JR316,JR317,JR318,JR319,JR320
1.17,0.19,0.15,0.17,0.09,0.125,0.235,0.06,0.19,0.255,0.58,0.15,0.36,0.26,0.1,0.46,0.3,0.32,0.52,0.11,,0.35,0.35,1.28,0.8,1.05,,,,,,0.3,,,,1.21,0.4,0.065,0.31,0.42,,0.345,,,,,0.42,0.25,,,,,,0.415,,0.035,,0.84,1.88,0.34,0.22,0.16,,1.2,0.225,0.11,,0.105,0.275,0.23,0.115,,,0.47,,0.41,,0.34,,0.92,,,,0.95,,,,,,0.83,,0.38,,1.1,3.32,0.84,,1.21,,0.43,,0.7,,,,,,0.78,,0.64,,0.3,,0.23,,2.14,,,,0.375,,0.57,,0.58,,0.7,,,,3.94,,,,0.5,,0.84,,0.5,,0.13,0.6,0.87,,0.23,0.15,0.43,0.6,0.8,0.6,0.105,0.25,0.16,0.87,0.18,0.115,0.15,0.065,0.575,1.04,0.5,1.56,0.26,,0.56,,0.65,,0.35,,,,0.92,,,,0.86,,0.73,,1.17,,,,1.22,,1.8,,0.51,,,,,,,,,,,,,,,,0.97,,0.34,,0.35,,0.28,3.14,0.83,,0.19,,1.31,,0.15,,0.22,,0.21,,1.78,,,,0.2,,0.35,0.53,0.245,,0.565,0.225,0.36,0.48,0.05,1.2,1.3,,0.28,,,,,,,0.15,0.0575,0.1,,,,0.15,0.11,0.085,0.17,0.285,,0.05,,,,0.46,,0.44,3.32,0.1,0.11,0.6,0.15,0.125,0.19,0.92,0.32,0.29,0.42,,0.12,0.105,0.17,0.145,0.11,0.38,0.375,,,0.45,,,,,,0.225,0.06,,,0.055,0.085,,,,,,,,,,,,,,,,,,,,,
0.15,0.17,0.135,0.17,0.09,0.06,0.045,0.09,0.09,0.1,0.28,0.15,0.35,0.11,0.15,0.5,0.185,0.75,0.64,0.15,,0.31,0.225,0.2,0.56,0.7,,,,,,0.185,,,,0.24,0.94,0.035,0.09,0.3,,0.175,,,,,0.84,0.23,,,,,,0.155,,0.05,,0.73,0.96,0.25,0.28,0.135,,0.76,0.15,0.15,,0.29,0.2,0.15,0.2,,,0.2,,0.44,,0.2,,0.4,,,,0.1,,,,,,0.53,,0.48,,1.54,0.72,1.3,,0.6,,0.8,,1.54,,,,,,0.58,,0.58,,0.115,,0.19,,0.7,,,,0.225,,0.16,,0.8,,0.51,,,,1.5,,,,0.89,,0.55,,0.5,,0.15,1,0.67,,1,0.1,0.21,0.23,0.3,0.43,0.2,0.15,0.07,1.37,0.205,0.035,0.37,0.12,0.195,3.4,1.07,0.53,0.33,,0.32,,0.7,,0.1,,,,0.76,,,,0.95,,0.43,,0.26,,,,0.44,,0.82,,0.65,,,,,,,,,,,,,,,,0.18,,0.65,,0.08,,0.27,0.44,0.77,,0.33,,0.46,,0.36,,0.14,,0.1,,0.89,,,,0.135,,0.29,0.09,0.175,,0.105,0.305,0.83,0.74,0.075,1.34,0.5,,0.18,,,,,,,0.125,0.05,0.035,,,,0.225,0.11,0.06,0.15,0.08,,0.06,,,,0.36,,0.6,0.6,0.085,0.075,0.14,0.1,0.2,0.55,0.58,0.5,0.56,0.27,,0.175,0.21,0.2,0.24,0.125,0.41,0.485,,,0.44,,,,,,0.275,0.065,,,0.075,0.1,,,,,,,,,,,,,,,,,,,,,
0.37,0.18,0.14,0.08,0.06,0.09,0.385,0.085,0.18,0.115,0.39,0.115,0.46,0.1,0.13,0.49,0.225,0.26,0.34,0.06,,0.35,0.135,1.49,0.54,0.25,,,,,,0.29,,,,0.7,0.54,0.05,0.35,0.32,,0.265,,,,,0.26,0.91,,,,,,0.345,,0.08,,0.75,0.46,0.27,0.15,0.155,,1.02,0.28,0.125,,0.32,0.175,0.11,0.17,,,0.26,,0.35,,0.095,,1.42,,,,0.33,,,,,,0.25,,0.79,,0.92,0.6,0.56,,0.2,,0.82,,1.08,,,,,,0.84,,0.5,,0.27,,0.175,,1.6,,,,0.28,,0.75,,0.63,,0.36,,,,0.69,,,,0.65,,0.23,,1.35,,0.13,0.28,0.96,,0.1,0.12,0.8,0.29,0.51,0.14,0.21,0.045,0.14,1.44,0.1,0.055,0.27,0.165,0.2,0.34,1,0.35,0.46,,0.22,,1,,0.13,,,,0.16,,,,0.61,,0.68,,4.64,,,,1.74,,0.65,,0.27,,,,,,,,,,,,,,,,0.09,,0.26,,0.15,,0.32,0.64,0.15,,0.28,,0.21,,0.17,,0.185,,0.21,,0.08,,,,0.15,,0.18,0.37,0.275,,0.125,0.29,0.73,0.15,0.045,0.38,0.38,,2.14,,,,,,,0.055,0.1,0.085,,,,0.055,0.15,0.075,0.13,0.16,,0.1,,,,0.38,,1.26,1.44,0.07,0.04,0.13,0.125,0.075,0.21,0.26,0.56,0.19,0.18,,0.11,0.15,0.1,0.26,0.11,0.14,0.39,,,0.13,,,,,,0.075,0.085,,,0.125,0.055,,,,,,,,,,,,,,,,,,,,,
0.64,0.04,0.085,0.05,0.105,0.12,0.04,0.13,0.045,0.195,0.48,0.09,0.2,0.14,0.13,0.42,0.085,0.63,0.44,0.135,,0.37,0.13,1.22,1.64,0.11,,,,,,0.325,,,,0.5,1.02,0.035,0.17,0.5,,0.175,,,,,3,0.26,,,,,,0.23,,0.0325,,1.87,0.34,0.175,0.27,0.225,,0.68,0.11,0.135,,0.15,0.14,0.115,0.06,,,0.32,,0.46,,0.105,,0.84,,,,0.43,,,,,,0.41,,0.55,,0.6,0.36,0.76,,0.48,,0.34,,0.52,,,,,,3.12,,0.6,,0.11,,0.205,,0.35,,,,0.175,,0.32,,1.87,,0.5,,,,0.4,,,,2.28,,0.1,,1.04,,0.78,1,0.42,,0.84,0.09,0.34,0.25,0.24,0.16,0.185,0.175,0.16,0.32,0.1,0.07,0.06,0.08,0.175,0.4,0.5,0.29,0.69,,0.63,,0.6,,0.27,,,,0.1,,,,0.7,,0.27,,0.2,,,,2,,0.62,,0.9,,,,,,,,,,,,,,,,0.2,,0.13,,0.15,,0.13,0.92,0.16,,0.3,,1.69,,0.5,,0.25,,0.105,,0.92,,,,0.3,,0.15,0.2,0.25,,0.515,0.54,0.2,0.47,0.06,0.82,0.4,,0.67,,,,,,,0.125,0.0625,0.075,,,,0.075,0.1,0.115,0.07,0.085,,0.06,,,,0.66,,0.3,1.26,0.1,0.02,0.07,0.09,0.08,0.09,0.54,0.26,0.14,0.44,,0.11,0.21,0.11,0.235,0.075,0.12,0.39,,,0.23,,,,,,0.2,0.065,,,0.065,0.04,,,,,,,,,,,,,,,,,,,,,
0.11,0.08,0.225,0.06,0.06,0.12,0.09,0.075,0.09,0.055,0.82,0.13,0.32,0.16,0.11,0.45,0.08,0.47,0.46,0.225,,0.62,0.18,0.6,0.48,0.26,,,,,,0.225,,,,1.2,0.16,0.0375,0.15,0.44,,0.325,,,,,0.14,0.21,,,,,,0.215,,0.055,,1.12,1.56,0.11,0.13,0.2,,1.53,0.145,0.2,,0.275,0.155,0.125,0.17,,,0.28,,0.14,,0.2,,1.36,,,,0.17,,,,,,0.3,,0.76,,1.26,0.72,0.36,,0.41,,1.07,,0.76,,,,,,0.7,,0.56,,0.05,,0.215,,0.8,,,,0.36,,0.7,,0.42,,0.61,,,,0.84,,,,0.08,,0.54,,1.57,,1.08,0.5,1.56,,0.33,0.53,0.13,0.35,0.25,0.2,0.125,0.2,0.075,0.2,0.11,0.065,0.12,0.06,0.3,0.12,0.38,0.55,0.3,,0.75,,0.38,,0.49,,,,0.98,,,,0.28,,0.9,,1.4,,,,1.6,,0.14,,0.6,,,,,,,,,,,,,,,,0.69,,0.32,,0.13,,0.32,1.06,0.13,,0.88,,0.1,,0.25,,0.25,,0.15,,0.22,,,,0.19,,0.21,0.62,0.05,,0.365,0.16,0.92,0.27,0.0525,0.78,0.92,,0.42,,,,,,,0.12,0.065,0.07,,,,0.34,0.11,0.135,0.16,0.25,,0.075,,,,0.54,,0.44,1.66,0.05,0.04,0.8,0.075,0.06,0.16,0.42,0.28,0.16,0.3,,0.165,0.15,0.09,0.385,0.08,0.15,0.215,,,0.13,,,,,,0.375,0.05,,,0.075,0.04,,,,,,,,,,,,,,,,,,,,,
0.54,0.12,0.16,0.05,0.055,0.135,0.085,0.07,0.04,0.07,0.9,0.15,0.4,0.1,0.34,0.41,0.11,0.25,0.44,0.04,,0.72,0.215,0.75,0.42,0.89,,,,,,0.245,,,,1.16,0.5,0.045,0.19,0.38,,0.065,,,,,0.6,0.35,,,,,,0.255,,0.06,,0.9,0.48,0.18,0.26,0.19,,1.84,0.16,0.2,,0.38,0.105,0.12,0.125,,,0.56,,0.32,,0.065,,0.72,,,,0.85,,,,,,0.45,,0.88,,0.86,0.38,1,,0.73,,0.5,,1.1,,,,,,3.14,,1.32,,0.115,,0.275,,1.22,,,,0.275,,0.15,,0.63,,0.8,,,,0.87,,,,0.68,,0.21,,1.74,,1.01,1.1,1.28,,0.22,1.29,0.47,0.14,0.37,1.01,0.2,0.165,0.025,0.72,0.135,0.11,0.07,0.25,0.725,0.52,1,0.45,0.19,,0.77,,1.07,,0.4,,,,0.6,,,,0.2,,1.56,,0.31,,,,2.68,,1.66,,0.5,,,,,,,,,,,,,,,,0.42,,0.42,,0.1,,0.15,0.46,0.17,,1,,0.11,,0.23,,0.06,,0.11,,0.09,,,,0.175,,0.26,0.18,0.055,,0.18,0.1,1.3,0.68,0.1125,0.67,0.47,,1.26,,,,,,,0.06,0.07,0.13,,,,0.3,0.19,0.4,0.14,0.25,,0.155,,,,1.14,,0.2,2.78,0.06,0.07,0.12,0.115,0.115,1.4,0.46,0.22,0.59,0.4,,0.135,0.05,0.325,0.26,0.07,0.245,0.275,,,0.75,,,,,,0.67,0.09,,,0.06,0.065,,,,,,,,,,,,,,,,,,,,,
0.39,0.09,0.075,0.05,0.09,0.065,0.035,0.06,0.1,0.05,0.1,0.09,0.18,0.065,0.14,0.68,0.33,0.5,0.8,0.075,,0.48,0.225,0.84,0.88,0.31,,,,,,0.125,,,,0.5,0.56,0.045,0.2,0.24,,0.09,,,,,0.4,0.14,,,,,,0.15,,0.07,,1.4,0.7,0.175,0.28,0.2,,1.8,0.165,0.225,,0.27,0.06,0.15,0.125,,,0.26,,0.31,,0.305,,0.6,,,,0.16,,,,,,0.6,,1.05,,0.64,1.06,1.12,,0.46,,1.61,,0.8,,,,,,0.92,,0.46,,0.335,,0.12,,0.55,,,,0.12,,0.3,,0.2,,0.29,,,,0.57,,,,0.77,,0.37,,0.9,,0.11,0.64,0.25,,0.09,0.33,0.6,0.23,0.48,0.32,0.115,0.16,0.14,0.69,0.145,0.17,0.07,0.195,0.35,0.24,0.81,1.33,0.33,,0.75,,0.94,,0.43,,,,0.56,,,,1.43,,0.56,,0.62,,,,0.66,,0.4,,0.35,,,,,,,,,,,,,,,,0.45,,0.73,,0.39,,0.12,0.84,0.1,,0.27,,0.12,,0.26,,0.18,,0.15,,0.16,,,,0.13,,0.17,0.84,0.175,,0.165,0.225,0.77,1.5,0.125,0.1,0.4,,1.42,,,,,,,0.14,0.0925,0.065,,,,0.1,0.18,0.1,0.13,0.1,,0.05,,,,0.52,,0.53,3.4,0.065,0.075,0.07,0.185,0.27,0.25,0.16,0.24,0.29,0.23,,0.165,0.225,0.33,0.285,0.175,0.2,0.215,,,0.3,,,,,,0.725,0.06,,,0.035,0.04,,,,,,,,,,,,,,,,,,,,,
0.33,0.06,0.2,0.06,0.14,0.06,0.05,0.05,0.06,0.045,0.06,0.065,0.22,0.1,0.18,0.8,0.32,0.47,0.4,0.13,,0.32,0.34,0.38,0.34,0.23,,,,,,0.165,,,,1.17,0.22,0.025,0.11,0.36,,0.285,,,,,0.4,0.15,,,,,,0.115,,0.075,,0.59,1.42,0.2,0.3,0.105,,0.51,0.15,0.1,,0.35,0.125,0.16,0.155,,,0.37,,0.15,,0.09,,1,,,,0.88,,,,,,0.27,,0.59,,0.52,0.6,0.7,,0.17,,0.7,,0.76,,,,,,2,,0.7,,0.15,,0.14,,0.55,,,,0.25,,0.45,,0.4,,0.04,,,,0.42,,,,0.57,,0.37,,1.45,,0.45,0.34,0.59,,0.25,1.27,0.33,0.28,0.58,0.64,0.095,0.105,0.15,0.22,0.075,0.155,0.16,0.5,0.07,0.7,0.73,0.78,0.43,,0.49,,1.08,,0.53,,,,0.77,,,,0.68,,0.34,,0.25,,,,0.5,,0.7,,0.28,,,,,,,,,,,,,,,,0.3,,0.57,,0.93,,0.13,0.46,0.46,,0.15,,0.12,,0.42,,0.12,,0.25,,0.3,,,,0.285,,0.23,0.39,0.175,,0.355,0.18,0.9,0.75,0.055,0.81,0.8,,0.5,,,,,,,0.085,0.0625,0.085,,,,0.11,0.15,0.19,0.08,0.155,,0.07,,,,0.32,,0.45,1.2,0.05,0.05,0.43,0.165,0.125,0.45,0.66,0.26,0.15,0.4,,0.175,0.16,0.135,0.115,0.175,0.275,0.195,,,0.76,,,,,,0.52,0.07,,,0.065,0.05,,,,,,,,,,,,,,,,,,,,,
0.33,0.14,0.245,0.08,0.025,0.095,0.025,0.06,0.075,0.225,0.1,0.2,0.1,0.055,0.06,0.85,0.26,0.59,0.16,0.255,,0.53,0.3,0.61,1.84,0.46,,,,,,0.265,,,,0.69,0.92,0.0225,0.2,0.39,,0.36,,,,,0.38,0.3,,,,,,0.175,,0.05,,0.69,0.52,0.155,0.11,0.305,,1.7,0.055,0.185,,0.225,0.3,0.265,0.13,,,0.17,,0.14,,0.16,,0.4,,,,0.45,,,,,,0.34,,0.43,,1.7,2.94,1.3,,0.76,,0.41,,0.2,,,,,,0.46,,0.74,,0.14,,0.185,,0.58,,,,0.03,,0.5,,1.35,,0.26,,,,0.98,,,,0.73,,0.15,,0.45,,3.44,0.66,0.27,,0.25,1.08,0.16,0.68,0.1,0.54,0.175,0.175,0.08,1.4,0.135,0.215,0.185,0.13,0.06,0.36,1.25,0.69,0.4,,0.5,,0.61,,0.27,,,,1.25,,,,1,,0.55,,0.23,,,,1.5,,0.52,,0.43,,,,,,,,,,,,,,,,0.15,,0.28,,0.11,,0.11,0.86,0.19,,0.32,,0.33,,0.28,,0.115,,0.25,,1.32,,,,0.27,,0.14,0.3,0.19,,0.27,0.125,1.2,0.3,0.1,0.5,0.29,,0.3,,,,,,,0.105,0.045,0.075,,,,0.05,0.08,0.185,0.15,0.215,,0.07,,,,0.56,,0.82,1.36,0.055,0.095,0.45,0.165,0.13,0.6,0.3,0.18,0.18,0.52,,0.185,0.25,0.3,0.4,0.095,0.065,0.385,,,0.17,,,,,,0.14,0.065,,,0.115,0.04,,,,,,,,,,,,,,,,,,,,,
0.59,0.05,0.265,0.08,0.085,0.1,0.1,0.05,0.105,0.095,0.98,0.17,0.52,0.1,0.1,0.35,0.295,0.32,0.44,0.105,,0.56,0.315,0.2,0.16,0.28,,,,,,0.17,,,,0.4,0.62,0.045,0.25,0.9,,0.11,,,,,0.56,0.25,,,,,,0.24,,0.0225,,0.99,0.7,0.1,0.13,0.26,,1.4,0.08,0.125,,0.185,0.03,0.19,0.12,,,0.08,,0.32,,0.13,,0.5,,,,0.52,,,,,,0.32,,0.35,,0.6,1,2.32,,0.23,,0.48,,0.82,,,,,,1.22,,2.5,,0.23,,0.26,,0.1,,,,0.045,,0.51,,0.55,,0.43,,,,0.82,,,,1,,0.16,,0.12,,1.45,0.74,2.4,,0.2,0.24,0.31,0.25,0.15,0.74,0.07,0.17,0.115,0.27,0.095,0.145,0.25,0.175,0.445,0.24,0.26,0.16,0.24,,0.1,,1.75,,0.78,,,,1.44,,,,0.69,,0.57,,1.09,,,,0.44,,4.6,,0.52,,,,,,,,,,,,,,,,0.4,,0.07,,0.24,,0.54,1.38,0.31,,0.7,,0.76,,0.22,,0.17,,0.575,,0.46,,,,0.235,,0.24,0.11,0.135,,0.24,0.365,0.2,0.85,0.0925,0.42,1.06,,1.26,,,,,,,0.06,0.05,0.06,,,,0.055,0.175,0.31,0.11,0.15,,0.225,,,,1.62,,0.3,2.02,0.05,0.095,0.21,0.19,0.115,0.45,0.7,0.18,0.3,2.5,,0.175,0.135,0.325,0.125,0.175,0.325,0.3,,,0.31,,,,,,0.15,0.06,,,0.06,0.035,,,,,,,,,,,,,,,,,,,,,
