sample,location,bed,mutti,observations
JR1,carrière inférieure de Saxel,17,F5,
JR2,carrière de Bons,11b,F9,
JR3,carrière de Bons,5,F8,
JR4,carrière de Bons,7,F8,
JR5,carrière de Bons,17,F8,
JR6,carrière de Bons,17,F8,
JR7,carrière de Bons,43,F8,
JR8,carrière de Bons,61,F8,
JR9,carrière de Bons,62,F9,
JR10,carrière de Bons,67,F9,
JR11,carrière inférieure de Saxel,2,F4,
JR12,carrière inférieure de Saxel,0,F8,
JR13,carrière inférieure de Saxel,18,F5,
JR14,carrière inférieure de Saxel,15c,F5,
JR15,carrière inférieure de Saxel,15c,F5,
JR16,carrière supérieure de Saxel,1,F8,
JR17a,carrière supérieure de Saxel,7,F9,
JR18,carrière supérieure de Saxel,13,F8,
JR19,carrière supérieure de Saxel,3g,F8,
JR20a,carrière supérieure de Saxel,17,F8,
JR21,carrière supérieure de Saxel,18b,F9,
JR22,Petite carrière Allinges,0,F8,base
JR23,Petite carrière Allinges,0,F8,avant les lamines
JR24,Sentier du Château des Allinges,0,F5,
JR25,Sentier du Château des Allinges,0,F5,
JR26,Sentier du Château des Allinges,0,F5,
JR27,Sentier du Château des Allinges,0,NA,claste
JR28,Maladière,0,NA,claste
JR29,Château des Allinges,0,NA,claste
JR30,Maladière,0,NA,claste
JR31,Maladière,0,NA,claste
JR32,torrent de Saxel,0,F9,
JR33,D20 - Talus 902,0,NA,claste
JR34,D20 - Talus 902,0,NA,claste
JR35,D20 - Talus 902,0,NA,claste
JR36,carrière inférieure de Saxel,0,F5,remblais
JR37,carrière inférieure de Saxel,0,F5,remblais
JR38,carrière de Bons,0,F9,remblais
JR39,torrent de Saxel,80,F8,
JR40,torrent de Saxel,84,F8,
JR41,torrent de Saxel,70,F8,
JR42,torrent de Saxel,69,F8,
JR43,Supersaxel,0,F9,remblais
JR44,torrent de Saxel,0,NA,marnes
JR45,carrière inférieure de Saxel,0,NA,remblais
JR46,torrent de Saxel,0,NA,claste
JR47,la Salle 1,0,F2,
JR48,route des Moxstères,8d,F9,
JR49,Conglomérat du Sigxl,0,NA,claste
JR50,Conglomérat du Sigxl,0,NA,claste
JR51,Crête des Voirons 1,0,F8,
JR52,pointe de Brantaz,114,F2,
JR53,torrent de Saxel,56a,F5,
JR54,torrent de Saxel,56a,F8,
JR55,torrent de Saxel,4c,F9,
JR56,torrent de Saxel,4b,F9,
JR57,torrent de Saxel,1,F9,
JR58,Saxel Eglise,0,F5,
JR59,la Salle 2,0,F2,
JR60,D20 - Bovet/Rollin,2,F8,
JR61,D20 - Bovet/Rollin,1,F8,
JR62,D20 - Bovet/Rollin,3,F9,
JR63,torrent Chez le Merizier,0,F8,section en amont du pont
JR64,ruisseau du Rafort,0,F2,
JR65,torrent de Saxel,66,F9,
JR66,torrent de Saxel,66,F9,
JR67,torrent de Saxel,63,F8,
JR68,torrent de Saxel,61,F8,
JR69,torrent de Saxel,55,F8,
JR70,torrent de Saxel,51,F9,
JR71,torrent de Saxel,50,F9,
JR72,torrent de Saxel,48,F8,
JR73,torrent de Saxel,45,F8,
JR74,torrent de Saxel,44b,F8,
JR75,route de Supersaxel,8,F9,
JR76,route de Supersaxel,5,F8,
JR77b,torrent de Supersaxel,8,F9,
JR78,torrent de Supersaxel,10,F9,
JR79,torrent de Supersaxel,12d,F9,
JR80,la Parire,0,F5,
JR81,D20 - 820,0,NA,a refaire
JR82,D20 - 820,0,NA,a refaire
JR83,D20 - 820,0,NA,a refaire
JR84,route des Moxstères,5a,F5,
JR85,route des Moxstères,7,F5,
JR86,route des Moxstères,10,F5,
JR87,route des Moxstères,12,F9,
JR88,Signal des Voirons ,0,F5,
JR89,route des Moxstères,15,F2,
JR90,le Planet,54,F2,
JR91,le Planet,56,F8,
JR92,le Planet,62,F5,
JR93,torrent de Curseilles,0,NA,claste
JR94,torrent de Curseilles,179,F5,
JR95,torrent de Curseilles,175,F2,
JR96,torrent de Curseilles,159,F8,
JR97,torrent de Curseilles,160d,F9,
JR98,torrent de Curseilles,163,F9,
JR99,torrent de Curseilles,164,F2,
JR100,torrent de Curseilles,167,F5,
JR101,torrent de Curseilles,169,F9,
JR102,Signal des Voirons ,0,F2,
JR103,Signal des Voirons ,0,NA,a refaire
JR104,Signal des Voirons ,0,NA,claste
JR105,Crête des Voirons,0,F2,entre Signal des Voirons et Pointe de Brantaz
JR106,Pralère,126,F2,
JR107,la Roche aux Corbeaux,155,F5,
JR108,torrent de Curseilles,181a,F2,
JR109,torrent de Curseilles,182,F8,
JR110,torrent de Curseilles,110,F2,
JR111,torrent de Curseilles,202,F5,
JR112,torrent de Curseilles,203,F9,
JR113,torrent de Curseilles,205,F8,
JR114,torrent de Curseilles,208,F9,
JR115,torrent de Curseilles,213,F8,
JR116,torrent de Curseilles,215,F5,
JR117,torrent de Curseilles,223,F8,
JR118,torrent de Curseilles,0,NA,marnes
JR119,torrent de Curseilles,217,F2,
JR120,torrent de Curseilles,229,F9,
JR121,torrent de Curseilles,237,F9,
JR122,torrent de Curseilles,252,F2,
JR123,torrent de Curseilles,249,F8,
JR124,torrent de Curseilles,248,F8,
JR125,torrent de Curseilles,259,F5,
JR126,torrent de Curseilles,284,F8,
JR127,torrent de Curseilles,291,F2,
JR128,torrent de Curseilles,292,F2,
JR129,torrent de Curseilles,278,F5,
JR130,torrent de Curseilles,295,F2,
JR131,torrent de Curseilles,285b,F5,
JR132,torrent de Curseilles,287,F8,
JR133,torrent de Curseilles,0,NA,claste
JR134,torrent de Curseilles,288,F5,
JR135,torrent de Curseilles,290,F2,a refaire
JR136,Burdignin,0,F5,
JR137,Burdignin,0,F5,
JR138,Burdignin,0,F5,
JR139,xnt de la Combe Ecuer,0,F5,banc incliné
JR140,Granges Gaillard 1,0,F5,
JR141,Granges Gaillard 1,0,F5,
JR142,D50,0,F5,
JR143,D50,0,F5,
JR144,la Coterie,0,F5,JR144bis site crete voirons 2
JR145,Crête des Voirons 2,17,F5,
JR146,Crête des Voirons 2,19,F4,
JR147,Crête des Voirons 2,20,F5,
JR148,Crête des Voirons 2,22,F8,
JR149,Crête des Voirons 2,24,F5,
JR150,Crête des Voirons 3,26,F9,
JR151,Crête des Voirons 3,28,F9,
JR152,Crête des Voirons 3,30,F9,
