################# General info,,,,,,,,,,,,,,,,,,,,,
"# article: Compositional variations in deep-sea gravity-flow deposits. A case study from the Voirons Flysch (Voirons-Wägital complex, Chablais Prealps, France)",,,,,,,,,,,,,,,,,,,,,
# journal name: Sedimentary Geology,,,,,,,,,,,,,,,,,,,,,
# author: Ragusa J and Kindler P,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,
# description: Framework composition and major statistical results of the grain-size distribution,,,,,,,,,,,,,,,,,,,,,
sample,location,unit,QFm,QFr,L,Lc,C,D,M,Glt,Other,Ph,Fc,RA,Bc,Pore,lithofacies,mean,sorting,skewness,kurtosis
JR1,carrière inférieure de Saxel,VS,290,23,10,14,85,1,1,1,2,0.001,1,4,3,3,L3,2.17225298027768,0.886523597347763,-0.20121542608288,2.30865016547592
JR10,carrière de Bons,VS,280,20,6,16,230,1,7,15,3,10,24,0.001,0.001,0.001,L5,3.45874936509415,0.713883316545847,0.0646468275532211,3.15233169518969
JR100,torrent de Curseilles,VC,240,50,13,0.001,29,0.001,6,0.001,1,0.001,0.001,0.001,0.001,34,L2,1.79048662528232,0.717123243851534,-0.00866886004530113,3.44728517606073
JR101,torrent de Curseilles,VC,251,53,18,3,88,0.001,5,1,1,0.001,1,0.001,0.001,3,L2,NA,NA,NA,NA
JR102,Signal des Voirons ,VS,195,61,11,9,183,0.001,8,1,0.001,0.001,4,14,3,13,L3,1.65856351455113,0.721006470359457,0.0377182326028805,3.30863548013329
JR105,Crête des Voirons (Signal-Brantaz),VS,143,54,14,8,127,0.001,6,1,1,1,0.001,6,1,6,L3,NA,NA,NA,NA
JR106,Pralère,VS,186,41,5,0.001,0.001,0.001,3,5,2,0.001,0.001,0.001,0.001,7,L1,NA,NA,NA,NA
JR107,la Roche aux Corbeaux,VC,221,88,11,0.001,0.001,0.001,12,0.001,1,0.001,0.001,0.001,0.001,27,L1,NA,NA,NA,NA
JR108,torrent de Curseilles,VC,162,100,18,6,0.001,1,11,0.001,1,0.001,7,0.001,0.001,4,L1,0.836210834360538,1.07065262977223,-0.361106662072995,2.31122250833692
JR109,torrent de Curseilles,VC,267,27,21,3,56,1,1,5,6,0.001,0.001,0.001,0.001,4,L2,NA,NA,NA,NA
JR11,carrière inférieure de Saxel,VS,272,20,9,13,29,0.001,2,1,0.001,1,1,3,2,7,L4,1.8343646743308,0.937517917883571,0.781459954053673,3.74162766775062
JR110,torrent de Curseilles,VC,185,107,9,2,32,0.001,3,0.001,3,0.001,4,0.001,1,3,L2,0.832422904168591,0.718937224104097,-0.846250310472863,3.46101848506189
JR111,torrent de Curseilles,VS,280,22,0.001,27,216,1,5,22,3,1,26,0.001,1,0.001,L5,NA,NA,NA,NA
JR112,torrent de Curseilles,VS,277,23,3,5,237,1,7,30,11,15,37,0.001,1,0.001,L5,3.21838547820032,0.921025158037075,-0.0219761012168973,3.06866208815185
JR113,torrent de Curseilles,VC,264,37,5,1,140,0.001,6,5,18,6,6,0.001,1,2,L5,NA,NA,NA,NA
JR114,torrent de Curseilles,VS,280,11,9,0.001,18,0.001,3,7,3,0.001,0.001,0.001,0.001,15,L2,2.79755388962308,0.501125702112703,0.606132577874517,4.10716706902574
JR115,torrent de Curseilles,VS,242,56,12,5,166,0.001,7,10,5,1,16,0.001,0.001,2,L5,NA,NA,NA,NA
JR116,torrent de Curseilles,VC,224,100,18,0.001,113,0.001,4,0.001,6,0.001,5,0.001,4,6,L2,1.60254996654154,1.11712003413917,-0.0600237548202017,3.05343469387535
JR119,torrent de Curseilles,VC,94,66,10,2,48,0.001,0.001,0.001,3,0.001,0.001,0.001,0.001,4,L2,NA,NA,NA,NA
JR12,carrière inférieure de Saxel,VS,271,2,5,21,362,3,4,9,6,12,11,2,8,0.001,L5,3.49866905597724,0.599939155126163,0.226052909651017,2.64401938567702
JR120,torrent de Curseilles,VC,257,39,12,1,124,1,2,2,14,0.001,1,0.001,0.001,0.001,L2,2.67244428379165,0.695678015848323,0.058141657439647,2.61117217235706
JR121,torrent de Curseilles,VS,299,9,0.001,5,156,0.001,7,12,23,14,9,0.001,0.001,0.001,L5,NA,NA,NA,NA
JR122,torrent de Curseilles,VC,241,64,7,11,115,0.001,7,0.001,5,0.001,1,2,0.001,0.001,L2,2.32439467308109,0.83320763417215,-0.10143253137822,2.82623348783755
JR123,torrent de Curseilles,VS,268,34,7,0.001,83,0.001,6,5,5,1,1,0.001,0.001,4,L2,NA,NA,NA,NA
JR124,torrent de Curseilles,VC,250,48,15,4,65,0.001,10,1,2,0.001,1,0.001,1,7,L2,1.59914497363115,1.07589883652927,0.597086117032431,3.08809956307189
JR125,torrent de Curseilles,VC,190,113,10,3,83,0.001,5,2,3,0.001,1,0.001,0.001,4,L2,NA,NA,NA,NA
JR126,torrent de Curseilles,VC,227,65,22,0.001,59,0.001,8,1,0.001,0.001,0.001,0.001,0.001,9,L2,2.1646326659414,0.670593348081752,0.43423247465096,3.24762414481817
JR129,torrent de Curseilles,VS,238,66,7,1,143,2,3,17,4,0.001,6,1,0.001,0.001,L2,NA,NA,NA,NA
JR13,carrière inférieure de Saxel,VS,274,33,3,9,164,0.001,1,0.001,1,0.001,2,4,2,1,L3,2.47188093981212,0.961874705656509,0.277353088215725,2.68150446110139
JR130,torrent de Curseilles,VC,142,161,8,0.001,41,0.001,12,1,0.001,0.001,0.001,0.001,0.001,20,L2,1.29893609829811,0.894810344472951,-0.440723355149454,3.57593097401452
JR131,torrent de Curseilles,VC,229,77,9,0.001,0.001,0.001,3,0.001,0.001,0.001,0.001,0.001,0.001,29,L1,NA,NA,NA,NA
JR134,torrent de Curseilles,VC,194,124,17,1,43,0.001,4,0.001,0.001,0.001,0.001,0.001,0.001,4,L2,1.53996043952622,1.00359320435117,-0.628223633119056,3.90413008158458
JR136,Burdignin,VC,218,70,16,0.001,132,0.001,7,3,1,0.001,4,1,1,44,L2,2.40170974805585,1.09080786167543,-0.233450263951433,2.3465235017746
JR138,Burdignin,VC,209,87,14,2,101,0.001,4,1,1,0.001,0.001,3,1,16,L3,1.76662251710572,1.07799128786793,-0.0902078084127361,2.74683377961164
JR139,nant de la Combe Ecuer,BS,302,0.001,1,1,312,0.001,8,14,4,1,2,0.001,4,2,L5,NA,NA,NA,NA
JR14,carrière inférieure de Saxel,VS,301,0.001,10,10,450,2,4,10,1,7,2,0.001,2,2,L5,3.62092478381344,0.553772591188788,-0.357553676462652,3.31855732710202
JR140,Granges Gaillard 1,VC,139,158,10,0.001,47,0.001,7,0.001,1,0.001,0.001,1,1,7,L2,1.45849458818927,1.22096508089338,-0.382582962405761,2.76719521916356
JR141,Granges Gaillard 1,VC,121,157,16,0.001,101,0.001,4,0.001,1,0.001,5,2,0.001,7,L2,1.23514757504294,0.788925390443368,-0.639638264329744,3.88561105366659
JR142,D50,VC,156,203,9,0.001,0.001,0.001,20,1,0.001,0.001,1,0.001,0.001,31,L1,1.1868207725946,1.23202256330813,-0.505248058143065,2.31131444757235
JR143,D50,VC,244,48,13,0.001,0.001,0.001,10,0.001,1,0.001,0.001,0.001,0.001,60,L1,NA,NA,NA,NA
JR144,la Coterie,VS,305,4,3,20,137,0.001,0.001,5,1,1,10,1,3,15,L4,2.76117306308202,1.20063437931346,0.0337754397271233,2.35221631940677
JR145,Crête des Voirons 2,VS,291,13,10,18,314,1,2,6,0.001,3,12,1,18,1,L2,2.59216084272404,0.974346876782981,-0.267840481051001,2.3511173853736
JR146,Crête des Voirons 2,VS,266,8,15,16,202,0.001,8,7,1,0.001,5,2,5,28,L3,2.4362196523159,0.888859434141539,-0.403832622027445,3.47546442854113
JR147,Crête des Voirons 2,VS,272,29,6,13,178,1,2,8,3,1,3,3,6,14,L4,2.44413404636534,1.07422358483775,-0.350244421739581,3.20693824673142
JR148,Crête des Voirons 2,VS,246,13,6,17,265,2,0.001,2,0.001,1,3,3,10,2,L4,2.49826141571372,0.886385356918375,-0.0599044517430443,2.69542538740326
