# article: Compositional variations in deep-sea gravity-flow deposits. A case study from the Voirons Flysch (Voirons-Wägital complex_Chablais Prealps_France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# journal name: Sedimentary Geology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# author: Ragusa J and Kindler P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# affiliation: University of Geneva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# description: Measurements of axis b for grain-size analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JR1,JR2,JR3,JR4,JR5,JR6,JR7,JR8,JR9,JR10,JR11,JR12,JR13,JR14,JR15,JR16,JR17a,JR18,JR19,JR20a,JR21,JR22,JR23,JR24,JR25,JR26,JR27,JR28,JR29,JR30,JR31,JR32,JR33,JR34,JR35,JR36,JR37,JR38,JR39,JR40,JR41,JR42,JR43,JR44,JR45,JR46,JR47,JR48,JR49,JR50,JR51,JR52,JR53,JR54,JR55,JR56,JR57,JR58,JR59,JR60,JR61,JR62,JR63,JR64,JR65,JR66,JR67,JR68,JR69,JR70,JR71,JR72,JR73,JR74,JR75,JR76,JR77b,JR78,JR79,JR80,JR81,JR82,JR83,JR84,JR85,JR86,JR87,JR88,JR89,JR90,JR91,JR92,JR93,JR94,JR95,JR96,JR97,JR98,JR99,JR100,JR101,JR102,JR103,JR104,JR105,JR106,JR107,JR108,JR109,JR110,JR111,JR112,JR113,JR114,JR115,JR116,JR117,JR118,JR119,JR120,JR121,JR122,JR123,JR124,JR125,JR126,JR127,JR128,JR129,JR130,JR131,JR132,JR133,JR134,JR135,JR136,JR137,JR138,JR139,JR140,JR141,JR142,JR143,JR144,JR145,JR146,JR147,JR148,JR149,JR150,JR151,JR152,JR153,JR154,JR155,JR156,JR157,JR158,JR159,JR160,JR161,JR162,JR163,JR164,JR165,JR166,JR167,JR168,JR169,JR170,JR171,JR172,JR173,JR174,JR175,JR176,JR177,JR178,JR179,JR180,JR181,JR182,JR183,JR184,JR185,JR186,JR187,JR188,JR189,JR190,JR191,JR192,JR193,JR194,JR195,JR196,JR197,JR198,JR199,JR200,JR201,JR202,JR203,JR204,JR205,JR206,JR207,JR208,JR209,JR210,JR211,JR212,JR213,JR214,JR215,JR216,JR217,JR218,JR219,JR220,JR221,JR222,JR223,JR224,JR225,JR226,JR227,JR228,JR229,JR230,JR231,JR232,JR233,JR234,JR235,JR236,JR237,JR238,JR239,JR240,JR241,JR242,JR243,JR244,JR245,JR246,JR247,JR248,JR249,JR250,JR251,JR252a,JR252b,JR253,JR254,JR255,JR256,JR257,JR258,JR259,JR260,JR261,JR262,JR263,JR264,JR265,JR266,JR267,JR268,JR269,JR270,JR271,JR272,JR273,JR274,JR275,JR276,JR277,JR278,JR279,JR280,JR281,JR282,JR283,JR284,JR285,JR286,JR287,JR288,JR289,JR290,JR291,JR292,JR293,JR294,JR295,JR296,JR297,JR298,JR299,JR300,JR301,JR302,JR303,JR304,JR305,JR306,JR307,JR308,JR309,JR310,JR311,JR312,JR313,JR314,JR315,JR316,JR317,JR318,JR319,JR320
0.75,0.11,0.075,0.12,0.06,0.075,0.13,0.035,0.04,0.125,0.23,0.11,0.26,0.14,0.07,0.32,0.185,0.2,0.36,0.085,,0.28,0.165,0.7,0.64,1.02,,,,,,0.24,,,,1,0.3,0.04,0.16,0.39,,0.26,,,,,0.16,0.12,,,,,,0.35,,0.02,,0.37,1.6,0.14,0.15,0.15,,0.7,0.145,0.1,,0.075,0.15,0.225,0.085,,,0.3,,0.19,,0.25,,0.4,20,0.4,,0.85,85,0.85,,,,0.83,,0.29,,0.78,1.7,0.56,,0.64,,0.27,,0.38,,,,,,0.48,,0.32,,0.195,,0.165,,0.7,,,,0.125,,0.28,,0.58,,0.52,,,,3.94,,,,0.25,,0.7,,0.33,,0.12,0.46,0.47,,0.13,0.05,0.3,0.33,0.45,0.29,0.065,0.2,0.12,0.57,0.05,0.055,0.13,0.04,0.25,0.94,0.45,0.98,0.14,,0.3,,0.52,,0.15,,,,0.7,,,,0.4,,0.62,,0.51,,,,0.84,,0.9,,0.42,,,,,,,,,,,,,,,,0.6,,0.23,,0.33,,0.17,1.7,0.47,,0.13,,0.43,,0.12,,0.15,,0.1,,1.36,,,,0.125,,0.2,0.41,0.14,,0.45,0.15,0.35,0.16,0.0375,1.1,0.8,,0.16,,,,,,,0.095,0.03,0.05,,,,0.075,0.06,0.025,0.12,0.175,,0.035,,,,0.34,,0.31,2.6,0.1,0.055,0.6,0.075,0.1,0.15,0.74,0.12,0.17,0.15,,0.05,0.04,0.16,0.055,0.11,0.265,0.225,,,0.24,,,,,,0.145,0.02,,,0.01,0.045,,,,,,,,,,,,,,,,,,,,,
0.09,0.12,0.115,0.14,0.035,0.065,0.035,0.05,0.025,0.035,0.25,0.1,0.24,0.065,0.09,0.25,0.085,0.5,0.34,0.075,,0.3,0.095,0.12,0.24,0.61,,,,,,0.175,,,,0.19,0.44,0.025,0.08,0.24,,0.07,,,,,0.54,0.23,,,,,,0.115,,0.035,,0.6,0.4,0.16,0.15,0.09,,0.5,0.12,0.075,,0.175,0.115,0.14,0.125,,,0.2,,0.25,,0.13,,0.4,20,0.4,,0.21,21,0.21,,,,0.53,,0.21,,0.92,0.42,0.7,,0.35,,0.3,,0.82,,,,,,0.3,,0.48,,0.06,,0.08,,0.65,,,,0.15,,0.06,,0.8,,0.4,,,,1.5,,,,0.54,,0.25,,0.5,,0.14,0.62,0.59,,0.67,0.06,0.15,0.13,0.2,0.2,0.105,0.085,0.055,0.81,0.065,0.02,0.15,0.1,0.07,2.3,0.5,0.25,0.29,,0.15,,0.23,,0.07,,,,0.61,,,,0.59,,0.38,,0.11,,,,0.4,,0.68,,0.65,,,,,,,,,,,,,,,,0.1,,0.5,,0.05,,0.15,0.16,0.4,,0.2,,0.32,,0.19,,0.09,,0.065,,0.52,,,,0.08,,0.2,0.06,0.115,,0.09,0.115,0.48,0.37,0.045,0.8,0.43,,0.13,,,,,,,0.085,0.025,0.03,,,,0.13,0.085,0.025,0.08,0.04,,0.05,,,,0.24,,0.4,0.4,0.085,0.04,0.07,0.1,0.08,0.45,0.3,0.4,0.32,0.18,,0.1,0.135,0.1,0.175,0.125,0.175,0.275,,,0.22,,,,,,0.24,0.025,,,0.055,0.045,,,,,,,,,,,,,,,,,,,,,
0.23,0.1,0.075,0.03,0.02,0.07,0.15,0.045,0.065,0.02,0.18,0.045,0.27,0.085,0.1,0.25,1.13,0.14,0.28,0.045,,0.28,0.115,1.25,0.3,0.22,,,,,,0.245,,,,0.67,0.16,0.04,0.1,0.21,,0.14,,,,,0.12,0.72,,,,,,0.145,,0.07,,0.5,0.44,0.16,0.08,0.075,,0.5,0.16,0.1,,0.125,0.115,0.06,0.125,,,0.15,,0.17,,0.03,,0.74,37,0.74,,0.17,17,0.17,,,,0.25,,0.68,,0.6,0.24,0.32,,0.1,,0.42,,0.7,,,,,,0.46,,0.26,,0.225,,0.11,,1.12,,,,0.19,,0.73,,0.63,,0.17,,,,0.69,,,,0.35,,0.17,,0.87,,0.05,0.2,0.42,,0.07,0.06,0.42,0.15,0.3,0.09,0.095,0.04,0.045,0.55,0.055,0.04,0.14,0.105,0.1,0.18,0.58,0.28,0.35,,0.15,,0.38,,0.08,,,,0.11,,,,0.31,,0.4,,2.54,,,,0.9,,0.4,,0.2,,,,,,,,,,,,,,,,0.06,,0.2,,0.02,,0.2,0.2,0.11,,0.15,,0.16,,0.12,,0.1,,0.075,,0.06,,,,0.14,,0.09,0.17,0.22,,0.075,0.165,0.32,0.1,0.0375,0.26,0.22,,2.06,,,,,,,0.025,0.065,0.025,,,,0.05,0.14,0.06,0.09,0.09,,0.055,,,,0.28,,0.51,1.3,0.07,0.02,0.05,0.09,0.07,0.13,0.12,0.34,0.1,0.12,,0.085,0.105,0.04,0.125,0.11,0.115,0.16,,,0.13,,,,,,0.03,0.04,,,0.06,0.035,,,,,,,,,,,,,,,,,,,,,
0.46,0.04,0.065,0.03,0.06,0.065,0.035,0.05,0.025,0.15,0.31,0.06,0.1,0.045,0.08,0.25,0.05,0.2,0.32,0.08,,0.28,0.085,0.47,1.1,0.1,,,,,,0.15,,,,0.23,0.68,0.025,0.13,0.47,,0.16,,,,,1.34,0.13,,,,,,0.225,,0.0125,,1.3,0.18,0.045,0.1,0.085,,0.43,0.08,0.095,,0.135,0.06,0.07,0.04,,,0.18,,0.26,,0.085,,0.6,30,0.6,,0.25,25,0.25,,,,0.41,,0.52,,0.54,0.26,0.48,,0.4,,0.22,,0.44,,,,,,0.88,,0.34,,0.04,,0.09,,0.2,,,,0.07,,0.19,,1.87,,0.18,,,,0.4,,,,1.28,,0.05,,0.92,,0.3,0.9,0.2,,0.56,0.03,0.18,0.17,0.22,0.09,0.14,0.105,0.065,0.2,0.07,0.035,0.04,0.045,0.11,0.2,0.32,0.13,0.5,,0.4,,0.46,,0.16,,,,0.07,,,,0.3,,0.23,,0.08,,,,1,,0.52,,0.36,,,,,,,,,,,,,,,,0.16,,0.07,,0.08,,0.1,0.4,0.04,,0.17,,0.07,,0.3,,0.13,,0.075,,0.62,,,,0.13,,0.11,0.1,0.075,,0.36,0.28,0.18,0.3,0.045,0.48,0.35,,0.5,,,,,,,0.05,0.0375,0.05,,,,0.03,0.05,0.075,0.06,0.05,,0.035,,,,0.44,,0.2,0.86,0.1,0.01,0.02,0.045,0.055,0.05,0.46,0.18,0.1,0.3,,0.055,0.17,0.035,0.125,0.075,0.1,0.165,,,0.12,,,,,,0.1,0.05,,,0.04,0.025,,,,,,,,,,,,,,,,,,,,,
0.05,0.08,0.075,0.03,0.035,0.07,0.065,0.04,0.045,0.035,0.5,0.04,0.17,0.04,0.06,0.28,0.035,0.16,0.32,0.18,,0.59,0.085,0.3,0.3,0.23,,,,,,0.175,,,,0.64,0.1,0.03,0.14,0.38,,0.285,,,,,0.1,0.14,,,,,,0.155,,0.02,,0.67,1.36,0.1,0.06,0.16,,1.24,0.075,0.2,,0.19,0.09,0.055,0.1,,,0.21,,0.13,,0.115,,0.74,37,0.74,,0.14,14,0.14,,,,0.3,,0.41,,0.9,0.4,0.54,,0.2,,0.35,,0.44,,,,,,0.46,,0.34,,0.045,,0.15,,0.3,,,,0.275,,0.48,,0.42,,0.32,,,,0.84,,,,0.06,,0.34,,1.03,,0.61,0.4,0.86,,0.2,0.26,0.05,0.25,0.1,0.06,0.085,0.15,0.06,0.11,0.09,0.045,0.08,0.035,0.15,0.08,0.21,0.48,0.2,,0.56,,0.29,,0.31,,,,0.4,,,,0.13,,0.48,,0.63,,,,1.2,,0.06,,0.42,,,,,,,,,,,,,,,,0.57,,0.18,,0.06,,0.21,0.8,0.1,,0.53,,0.05,,0.12,,0.1,,0.135,,0.09,,,,0.085,,0.21,0.43,0.05,,0.165,0.105,0.34,0.23,0.05,0.44,0.73,,0.15,,,,,,,0.025,0.035,0.04,,,,0.28,0.1,0.065,0.08,0.08,,0.05,,,,0.4,,0.23,0.72,0.05,0.02,0.56,0.06,0.05,0.06,0.16,0.22,0.07,0.12,,0.12,0.125,0.065,0.235,0.08,0.125,0.1,,,0.12,,,,,,0.29,0.02,,,0.06,0.025,,,,,,,,,,,,,,,,,,,,,
0.43,0.08,0.1,0.08,0.04,0.105,0.05,0.03,0.035,0.05,0.42,0.1,0.12,0.065,0.26,0.2,0.03,0.3,0.28,0.025,,0.58,0.19,0.43,0.28,0.7,,,,,,0.205,,,,0.67,0.2,0.03,0.07,0.23,,0.035,,,,,0.3,0.13,,,,,,0.22,,0.0375,,0.42,0.22,0.085,0.19,0.135,,1.05,0.095,0.13,,0.14,0.1,0.05,0.115,,,0.1,,0.21,,0.055,,0.44,22,0.44,,0.6,60,0.6,,,,0.45,,0.45,,0.74,0.24,0.42,,0.2,,0.32,,0.64,,,,,,1.72,,0.6,,0.09,,0.125,,0.83,,,,0.14,,0.07,,0.63,,0.56,,,,0.87,,,,0.35,,0.15,,0.9,,0.6,0.92,0.8,,0.11,0.8,0.29,0.09,0.25,0.35,0.11,0.145,0.02,0.53,0.095,0.075,0.04,0.16,0.525,0.32,0.68,0.23,0.11,,0.36,,0.65,,0.33,,,,0.38,,,,0.17,,0.92,,0.25,,,,2.52,,2.08,,0.4,,,,,,,,,,,,,,,,0.27,,0.25,,0.05,,0.11,0.14,0.13,,0.67,,0.05,,0.1,,0.04,,0.085,,0.06,,,,0.09,,0.1,0.04,0.045,,0.135,0.05,0.63,0.47,0.0675,0.32,0.18,,0.94,,,,,,,0.025,0.0375,0.12,,,,0.1,0.1,0.2,0.11,0.21,,0.08,,,,0.74,,0.15,0.7,0.06,0.065,0.07,0.05,0.065,0.8,0.44,0.16,0.37,0.25,,0.07,0.04,0.2,0.115,0.07,0.125,0.21,,,0.42,,,,,,0.625,0.06,,,0.04,0.025,,,,,,,,,,,,,,,,,,,,,
0.16,0.1,0.06,0.03,0.065,0.055,0.02,0.04,0.065,0.035,0.08,0.07,0.13,0.06,0.06,0.43,0.175,0.42,0.5,0.04,,0.26,0.085,0.45,0.54,0.22,,,,,,0.075,,,,0.31,0.44,0.045,0.09,0.2,,0.045,,,,,0.34,0.11,,,,,,0.115,,0.0175,,0.92,0.34,0.085,0.13,0.06,,1.03,0.11,0.15,,0.1,0.05,0.11,0.05,,,0.18,,0.14,,0.325,,0.46,23,0.46,,0.15,15,0.15,,,,0.6,,0.5,,0.56,0.4,0.7,,0.25,,1.31,,0.52,,,,,,0.56,,0.34,,0.16,,0.05,,0.35,,,,0.07,,0.13,,0.2,,0.25,,,,0.57,,,,0.5,,0.18,,0.77,,0.08,0.44,0.12,,0.07,0.17,0.58,0.17,0.35,0.24,0.025,0.1,0.09,0.45,0.09,0.12,0.05,0.13,0.2,0.16,0.65,0.93,0.22,,0.46,,0.7,,0.24,,,,0.39,,,,0.9,,0.37,,0.42,,,,0.5,,0.27,,0.23,,,,,,,,,,,,,,,,0.31,,0.64,,0.25,,0.08,0.68,0.06,,0.19,,0.08,,0.16,,0.11,,0.065,,0.09,,,,0.1,,0.17,0.38,0.025,,0.095,0.15,0.43,0.75,0.0575,0.04,0.28,,0.96,,,,,,,0.065,0.045,0.055,,,,0.095,0.105,0.035,0.03,0.06,,0.035,,,,0.24,,0.35,0.52,0.065,0.04,0.07,0.2,0.18,0.24,0.14,0.14,0.16,0.18,,0.095,0.14,0.285,0.185,0.175,0.13,0.135,,,0.21,,,,,,0.62,0.025,,,0.025,0.025,,,,,,,,,,,,,,,,,,,,,
0.2,0.04,0.15,0.04,0.02,0.02,0.035,0.025,0.035,0.035,0.03,0.05,0.12,0.045,0.12,0.3,0.165,0.22,0.2,0.115,,0.2,0.255,0.25,0.22,0.14,,,,,,0.075,,,,0.7,0.1,0.0125,0.08,0.22,,0.195,,,,,0.18,0.08,,,,,,0.065,,0.025,,0.45,0.86,0.135,0.12,0.08,,0.41,0.065,0.06,,0.145,0.06,0.005,0.08,,,0.17,,0.1,,0.05,,0.64,32,0.64,,0.61,61,0.61,,,,0.27,,0.3,,0.2,0.48,0.5,,0.12,,0.37,,0.32,,,,,,1.5,,0.4,,0.045,,0.085,,0.32,,,,0.165,,0.39,,0.4,,0.21,,,,0.42,,,,0.33,,0.15,,0.87,,0.35,0.24,0.56,,0.23,0.67,0.18,0.1,0.42,0.44,0.075,0.09,0.085,0.12,0.04,0.095,1.605,0.3,0.05,0.3,0.33,0.48,0.15,,0.36,,0.71,,0.31,,,,0.42,,,,0.5,,0.21,,0.05,,,,0.42,,0.45,,0.13,,,,,,,,,,,,,,,,0.21,,0.45,,0.62,,0.07,0.42,0.23,,0.08,,0.05,,0.12,,0.07,,0.075,,0.19,,,,0.22,,0.2,0.2,0.085,,0.21,0.135,0.6,0.4,0.0375,0.46,0.5,,0.3,,,,,,,0.075,0.05,0.07,,,,0.05,0.075,0.135,0.06,0.105,,0.05,,,,0.16,,0.31,1.1,0.05,0.03,0.34,0.09,0.08,0.3,0.24,0.24,0.08,0.13,,0.08,0.07,0.055,0.03,0.175,0.175,0.12,,,0.53,,,,,,0.245,0.04,,,0.045,0.025,,,,,,,,,,,,,,,,,,,,,
0.23,0.08,0.16,0.05,0.02,0.06,0.015,0.05,0.035,0.125,0.04,0.165,0.08,0.05,0.03,0.5,0.09,0.22,0.14,0.21,,0.42,0.14,0.38,1.22,0.28,,,,,,0.095,,,,0.28,0.76,0.0225,0.13,0.2,,0.2,,,,,0.16,0.16,,,,,,0.14,,0.0375,,0.48,0.4,0.085,0.06,0.3,,1.55,0.035,0.11,,0.125,0.135,0.105,0.06,,,0.13,,0.09,,0.14,,0.2,10,0.2,,0.27,27,0.27,,,,0.34,,0.34,,0.9,2.68,0.82,,0.35,,0.2,,0.1,,,,,,0.4,,0.26,,0.075,,0.11,,0.3,,,,0.155,,0.3,,1.35,,0.09,,,,0.98,,,,0.67,,0.12,,0.35,,2.36,0.3,0.25,,0.14,0.69,0.07,0.32,0.06,0.22,0.105,0.12,0.06,0.9,0.095,0.095,0.085,0.1,0.05,0.3,1.01,0.4,0.32,,0.32,,0.43,,0.1,,,,0.7,,,,0.52,,0.3,,0.17,,,,1.2,,0.32,,0.34,,,,,,,,,,,,,,,,0.11,,0.1,,0.09,,0.05,0.44,0.1,,0.3,,0.2,,0.16,,0.1,,0.21,,1,,,,0.155,,0.07,0.19,0.15,,0.19,0.05,0.5,0.2,0.0925,0.23,0.12,,0.18,,,,,,,0.05,0.035,0.04,,,,0.05,0.035,0.11,0.08,0.165,,0.035,,,,0.34,,0.6,0.64,0.055,0.035,0.32,0.08,0.085,0.47,0.2,0.18,0.08,0.35,,0.125,0.15,0.245,0.3,0.095,0.04,0.185,,,0.1,,,,,,0.07,0.05,,,0.075,0.025,,,,,,,,,,,,,,,,,,,,,
0.45,0.04,0.15,0.03,0.045,0.065,0.04,0.035,0.06,0.05,0.66,0.1,0.27,0.065,0.02,0.25,0.17,0.3,0.3,0.075,,0.42,0.17,0.13,0.14,0.17,,,,,,0.14,,,,0.22,0.3,0.0175,0.17,0.45,,0.065,,,,,0.38,0.12,,,,,,0.14,,0.0175,,0.98,0.36,0.09,0.06,0.21,,1.15,0.065,0.1,,0.14,0.02,0.08,0.07,,,0.06,,0.18,,0.11,,0.36,18,0.36,,0.23,23,0.23,,,,0.32,,0.2,,0.4,0.6,1.56,,0.11,,0.23,,0.46,,,,,,1.16,,1.7,,0.115,,0.115,,0.03,,,,0.11,,0.45,,0.55,,0.17,,,,0.82,,,,0.8,,0.11,,0.07,,0.53,0.44,1.8,,0.18,0.1,0.18,0.13,0.13,0.49,0.045,0.115,0.065,0.19,0.065,0.085,0.1,0.12,0.305,0.1,0.17,0.08,0.15,,0.07,,0.91,,0.39,,,,1.06,,,,0.5,,0.31,,0.62,,,,0.36,,2.3,,0.33,,,,,,,,,,,,,,,,0.07,,0.06,,0.17,,0.28,0.66,0.2,,0.6,,0.36,,0.16,,0.085,,0.05,,0.27,,,,0.16,,0.17,0.05,0.065,,0.135,0.15,0.11,0.6,0.045,0.38,0.7,,0.8,,,,,,,0.05,0.025,0.035,,,,0.025,0.09,0.2,0.08,0.105,,0.12,,,,0.9,,0.18,0.7,0.05,0.045,0.12,0.12,0.065,0.35,0.46,0.14,0.14,1.5,,0.15,0.05,0.16,0.08,0.175,0.105,0.175,,,0.21,,,,,,0.1,0.045,,,0.04,0.03,,,,,,,,,,,,,,,,,,,,,
