############,,,,,,,,,,,,
# title: dip and azimut measurements of beds and faults in the Voirons Flysch,,,,,,,,,,,,
# author: Lina Maria Ospina-Ostios and Jérémy Ragusa,,,,,,,,,,,,
# date: 2018-02-07,,,,,,,,,,,,
# comments: please refer to the Log folder for stratigraphic logs,,,,,,,,,,,,
############,,,,,,,,,,,,
outcrop,unit,formation,member,date,bed,azimut,dip,type,lat,lon,sector,remarks
Allinges castle quarry,,Voirons Sandstone,Allinges Mb.,,2,145,40,bed,,,Allinges,
Allinges castle quarry,,Voirons Sandstone,Allinges Mb.,,6,134,33,bed,,,Allinges,
Allinges castle quarry,,Voirons Sandstone,Allinges Mb.,,15,139,36,bed,,,Allinges,
Allinges castle quarry,,Voirons Sandstone,Allinges Mb.,,16,147,55,bed,,,Allinges,
Allinges castle quarry,,Voirons Sandstone,Allinges Mb.,,23a,144,35,bed,,,Allinges,
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,136,22,bed,,,Allinges,?
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,136,20,bed,,,Allinges,?
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,144,18,bed,,,Allinges,?
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,122,18,bed,,,Allinges,?
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,138,22,bed,,,Allinges,?
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,147,55,bed,,,Allinges,Q3
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,144,35,bed,,,Allinges,Q3
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,139,36,bed,,,Allinges,Q2
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,145,40,bed,,,Allinges,Q1
Allinges small quarry,,Voirons Sandstone,Allinges Mb.,,lina,134,33,bed,,,Allinges,Q1
Bard,,Boëge Marl,,2018-07-20,NA,308,88,bed,,,Voirons,
Bard,,Boëge Marl,,2018-07-20,NA,298,66,bed,,,Voirons,
Béthléem monastery,,Voirons Sandstone,,,lina,98,38,bed,,,Voirons,
Béthléem monastery,,Voirons Sandstone,,,lina,100,40,bed,,,Voirons,
Béthléem monastery,,Voirons Sandstone,,,lina,100,40,bed,,,Voirons,
Boisinges,,Vouan Conglomerate,,,lina,112,22,bed,,,Voirons,
Bons quarry,,Voirons Sandstone,Bons Mb.,,5,98,40,bed,,,Voirons,
Bons quarry,,Voirons Sandstone,,,lina,98,40,bed,,,Voirons,
Bons quarry,,Voirons Sandstone,,,lina,97,43,bed,,,Voirons,
Bons quarry,,Voirons Sandstone,,,lina,97,41,bed,,,Voirons,
Buisson Rond,,Voirons Sandstone,,,lina,82,46,bed,,,Voirons,
Buisson Rond,,Voirons Sandstone,,,lina,76,43,bed,,,Voirons,
Burdignin,,Bruant Sandstone,,,lina,115,52,bed,,,Voirons,
Burdignin,,Bruant Sandstone,,,lina,132,53,bed,,,Voirons,
Carraz stream,marly section,Bruant Sandstone,,2014-06-15,NA,23,74,bed,,,Voirons,upstream tilted bed 
Carraz stream,marly section,Bruant Sandstone,,2014-06-15,5,64,32,bed,,,Voirons,
Carraz stream,,Bruant Sandstone,,,lina,187,38,bed,,,Voirons,rive droite
Carraz stream,,Bruant Sandstone,,,lina,55,32,bed,,,Voirons,rive gauche
Carraz stream,,Bruant Sandstone,,,lina,60,32,bed,,,Voirons,rive gauche
Carraz stream,,Bruant Sandstone,,,lina,187,38,bed,,,Voirons,rive droite
Chauffemérande stream,,Boëge Marl,,,1,102,28,bed,,,Voirons,
Chauffemérande stream,,Boëge Marl,,,3,92,27,bed,,,Voirons,
Chauffemérande stream,,Boëge Marl,,,9,91,28,bed,,,Voirons,
Chauffemérande stream,,Boëge Marl,,,11,89,32,bed,,,Voirons,
Chauffemérande stream,,Vouan Conglomerate,,,lina,80,35,bed,,,Voirons,conglomérat au bord de la route
Chauffemérande stream,,Vouan Conglomerate,,,lina,55,30,bed,,,Voirons, top Ro. Chauffémerandes
Chauffemérande stream,,Vouan Conglomerate,,,lina,82,45,bed,,,Voirons, top Ro. Chauffémerandes
Chauffemérande stream,,Vouan Conglomerate,,,lina,85,40,bed,,,Voirons, top Ro. Chauffémerandes
Chauffemérande stream,,Boëge Marl,,,lina,92,30,bed,,,Voirons,
Chauffemérande stream,,Boëge Marl,,,lina,82,30,bed,,,Voirons,
Chauffemérande stream,,Boëge Marl,,,lina,102,28,bed,,,Voirons,
Chauffemérande stream,,Boëge Marl,,,lina,92,27,bed,,,Voirons,
Chauffemérande stream,,Boëge Marl,,,lina,91,28,bed,,,Voirons,
Chauffemérande stream,,Boëge Marl,,,lina,89,32,bed,,,Voirons,
Chauffemérande stream,,Boëge Marl,,2011-08-11,lina,85,30,bed,,,Voirons,
Chemin du Pieu,,Voirons Sandstone,,,lina,80,36,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,9,7,36,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,10,357,34,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,17,9,38,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,18,47,28,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,23,41,10,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,25,38,8,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,41,357,8,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,42,10,15,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,43,287,78,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,45,305,79,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,61,293,80,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,63,40,18,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,64,36,18,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,29/04/12,69,52,18,bed,,,Voirons,
Chez le Merizier stream,,Boëge Marl,,,lina,40,18,bed,,,Voirons,après le pli
Chez le Merizier stream,,Boëge Marl,,,lina,39,18,bed,,,Voirons,après le pli
Chez le Merizier stream,,Boëge Marl,,,lina,36,18,bed,,,Voirons,après le pli
Chez le Merizier stream,,Boëge Marl,,,lina,52,18,bed,,,Voirons,à hauteur de la maison
Chez le Merizier stream,,Boëge Marl,,,lina,10,15,bed,,,Voirons,après le pli
Chez le Merizier stream,,Boëge Marl,,,lina,23,16,bed,,,Voirons,après le pli
Chez le Merizier stream,,Boëge Marl,,,lina,16,11,bed,,,Voirons,après le pli
Chez le Merizier stream,,Boëge Marl,,,lina,358,34,bed,,,Voirons,après le pont en ruine
Chez le Merizier stream,,Boëge Marl,,,lina,7,36,bed,,,Voirons,après le pont en ruine
Chez le Merizier stream,,Boëge Marl,,,lina,9,38,bed,,,Voirons,après le pont en ruine
Chez le Merizier stream,,Boëge Marl,,,lina,17,32,bed,,,Voirons,après le pont en ruine
Chez le Merizier stream,,Boëge Marl,,,lina,27,56,bed,,,Voirons,après le pont en ruine
Chez le Merizier stream,,Boëge Marl,,,lina,38,8,bed,,,Voirons,dalle de marnes
Chez le Merizier stream,,Boëge Marl,,,lina,41,10,bed,,,Voirons,dalle de marnes
Chez le Merizier stream,,Boëge Marl,,,lina,47,28,bed,,,Voirons,dalle de marnes
Chez le Merizier stream,,Boëge Marl,,,lina,332,21,bed,,,Voirons,aval du pli
Chez le Merizier stream,,Boëge Marl,,,lina,345,19,bed,,,Voirons,aval du pli
Chez le Merizier stream,,Boëge Marl,,,lina,330,18,bed,,,Voirons,aval du pli
Chez le Merizier stream,,Boëge Marl,,,lina,350,16,bed,,,Voirons,aval du pli
Chez le Merizier stream,,Boëge Marl,,,lina,8,12,bed,,,Voirons,aval du pli
Chez le Merizier stream,,Boëge Marl,,,lina,19,19,bed,,,Voirons,aval du pli
Chez le Merizier stream,,Boëge Marl,,,lina,357,8,bed,,,Voirons,après le pli
Chez le Merizier stream,,Boëge Marl,,,lina,289,70,bed,,,Voirons,après le pli
Chez le Merizier stream,,Boëge Marl,,,lina,299,78,bed,,,Voirons,après le pli
Chez le Merizier stream,,Boëge Marl,,,lina,296,70,bed,,,Voirons,après le pli
